,ტექსტი,ა,ბ,გ,დ,პასუხი,საკითხები
0,"მოცემულია ტეხილი წერტილებით ([-8, -7], [17, -5], [6, -18], [-14, -16], [13, -1]). გამოთვალეთ ტეხილის სიგრძე.",93.1,109.1,73.6,83.4,ა,GEO2D-2.2
1,"მოცემულია ტეხილი წერტილებით ([-6, 13], [-6, -1], [17, -6], [-11, -16], [18, 17]). გამოთვალეთ ტეხილის სიგრძე.",122.9,123.1,111.1,127.8,გ,GEO2D-2.2
2,"მოცემულია ტეხილი წერტილებით ([4, -3], [-1, 17], [-19, 2], [-11, 14], [19, -8]). გამოთვალეთ ტეხილის სიგრძე.",95.6,75.9,110.6,100.4,ა,GEO2D-2.2
3,"მოცემულია ტეხილი წერტილებით ([-19, -6], [-19, -15], [-18, -16], [-17, 9], [15, 5]). გამოთვალეთ ტეხილის სიგრძე.",52.7,76.0,67.6,49.4,გ,GEO2D-2.2
4,"მოცემულია ტეხილი წერტილებით ([15, 4], [-13, 8], [9, 8], [16, 7], [-4, -13]). გამოთვალეთ ტეხილის სიგრძე.",78.4,88.8,94.9,85.7,დ,GEO2D-2.2
5,"მოცემულია ტეხილი წერტილებით ([7, 0], [6, -19], [-3, 0], [16, 9], [16, 17]). გამოთვალეთ ტეხილის სიგრძე.",79.1,81.3,69.0,53.5,გ,GEO2D-2.2
6,"მოცემულია ტეხილი წერტილებით ([17, 19], [-2, -4], [-2, 3], [2, 11], [-1, 19]). გამოთვალეთ ტეხილის სიგრძე.",43.7,41.1,52.0,54.2,დ,GEO2D-2.2
7,"მოცემულია ტეხილი წერტილებით ([6, -15], [-4, 1], [17, 18], [-12, -20], [14, 3]). გამოთვალეთ ტეხილის სიგრძე.",125.5,128.4,119.6,147.8,ბ,GEO2D-2.2
8,"მოცემულია ტეხილი წერტილებით ([17, -9], [-3, 0], [1, 7], [-19, -5], [1, -2]). გამოთვალეთ ტეხილის სიგრძე.",73.5,85.0,86.1,61.5,ა,GEO2D-2.2
9,"მოცემულია ტეხილი წერტილებით ([-5, 12], [1, -10], [-8, 7], [-4, 2], [-8, 13]). გამოთვალეთ ტეხილის სიგრძე.",41.7,68.5,60.1,52.7,გ,GEO2D-2.2
10,"მოცემულია ტეხილი წერტილებით ([-8, 6], [2, -17], [-3, 7], [2, 11], [17, -5]). გამოთვალეთ ტეხილის სიგრძე.",59.3,82.3,71.9,77.9,დ,GEO2D-2.2
11,"მოცემულია ტეხილი წერტილებით ([14, 5], [-7, -5], [-15, 8], [11, -2], [15, 13]). გამოთვალეთ ტეხილის სიგრძე.",66.2,82.0,96.4,69.5,ბ,GEO2D-2.2
12,"მოცემულია ტეხილი წერტილებით ([-6, -17], [-6, -4], [15, -3], [-5, -13], [10, -14]). გამოთვალეთ ტეხილის სიგრძე.",69.5,56.1,71.4,82.5,გ,GEO2D-2.2
13,"მოცემულია ტეხილი წერტილებით ([7, 5], [-5, -3], [15, 0], [18, -12], [-4, -20]). გამოთვალეთ ტეხილის სიგრძე.",87.5,64.5,70.4,65.6,გ,GEO2D-2.2
14,"მოცემულია ტეხილი წერტილებით ([-1, -5], [11, -16], [-18, -18], [-6, 1], [-19, -12]). გამოთვალეთ ტეხილის სიგრძე.",86.3,91.2,67.3,84.0,ა,GEO2D-2.2
15,"მოცემულია ტეხილი წერტილებით ([-5, -10], [-17, -13], [-16, -11], [12, -7], [-8, -8]). გამოთვალეთ ტეხილის სიგრძე.",82.2,82.4,58.6,62.9,დ,GEO2D-2.2
16,"მოცემულია ტეხილი წერტილებით ([1, 9], [-16, -11], [-1, 13], [15, -11], [15, 5]). გამოთვალეთ ტეხილის სიგრძე.",119.0,109.0,90.8,99.3,დ,GEO2D-2.2
17,"მოცემულია ტეხილი წერტილებით ([11, -17], [15, 14], [-6, -15], [4, -6], [-16, 6]). გამოთვალეთ ტეხილის სიგრძე.",92.6,118.8,103.9,119.3,გ,GEO2D-2.2
18,"მოცემულია ტეხილი წერტილებით ([-20, -8], [-17, 6], [1, 16], [-9, -20], [-7, 13]). გამოთვალეთ ტეხილის სიგრძე.",98.4,105.4,122.3,116.7,ბ,GEO2D-2.2
19,"მოცემულია ტეხილი წერტილებით ([10, -10], [-6, 17], [-20, 11], [1, -8], [-17, -3]). გამოთვალეთ ტეხილის სიგრძე.",93.6,110.0,94.6,90.4,ა,GEO2D-2.2
20,დაშალეთ 252 მარტივ მამრავლებად.,"5, 29","2, 3, 3, 7","3, 3, 3, 11","2, 2, 3, 3, 7",დ,ALGEBRA-2.2
21,დაშალეთ 699 მარტივ მამრავლებად.,"3, 233","11, 73","2, 2, 2, 3, 23","17, 47",ა,ALGEBRA-2.2
22,დაშალეთ 689 მარტივ მამრავლებად.,"7, 101","5, 11, 11","13, 61","13, 53",დ,ALGEBRA-2.2
23,დაშალეთ 212 მარტივ მამრავლებად.,"3, 7","2, 193","2, 2, 53","5, 31",გ,ALGEBRA-2.2
24,დაშალეთ 252 მარტივ მამრავლებად.,"5, 67","5, 73","2, 2, 3, 3, 7","3, 107",გ,ALGEBRA-2.2
25,დაშალეთ 347 მარტივ მამრავლებად.,"13, 31","2, 3, 47",347,"2, 2, 7, 13",გ,ALGEBRA-2.2
26,დაშალეთ 627 მარტივ მამრავლებად.,"2, 251","2, 2, 3, 3, 17","3, 251","3, 11, 19",დ,ALGEBRA-2.2
27,დაშალეთ 703 მარტივ მამრავლებად.,"3, 3, 59","19, 37","3, 3, 3, 29","2, 3, 7, 17",ბ,ALGEBRA-2.2
28,დაშალეთ 224 მარტივ მამრავლებად.,"2, 2, 2, 2, 11","13, 13","5, 7","2, 2, 2, 2, 2, 7",დ,ALGEBRA-2.2
29,დაშალეთ 507 მარტივ მამრავლებად.,"2, 2, 2, 2, 37","3, 13, 13","2, 2, 2, 83","2, 2, 149",ბ,ALGEBRA-2.2
30,დაშალეთ 18 მარტივ მამრავლებად.,,"2, 3, 3","13, 13","2, 89",ბ,ALGEBRA-2.2
31,დაშალეთ 864 მარტივ მამრავლებად.,"2, 2, 2, 2, 2, 3, 3, 3","5, 151","5, 7, 29","3, 283",ა,ALGEBRA-2.2
32,დაშალეთ 482 მარტივ მამრავლებად.,"2, 313","2, 17, 17","2, 2, 2, 2, 2, 2, 5","2, 241",დ,ALGEBRA-2.2
33,დაშალეთ 244 მარტივ მამრავლებად.,"2, 3, 3, 3, 7","3, 89","2, 5, 41","2, 2, 61",დ,ALGEBRA-2.2
34,დაშალეთ 810 მარტივ მამრავლებად.,"2, 2, 241","23, 31","5, 173","2, 3, 3, 3, 3, 5",დ,ALGEBRA-2.2
35,დაშალეთ 6 მარტივ მამრავლებად.,"3, 37",,,"2, 3",დ,ALGEBRA-2.2
36,დაშალეთ 608 მარტივ მამრავლებად.,"2, 2, 2, 2, 2, 19","7, 107","2, 2, 2, 3, 29","2, 2, 7, 23",ა,ALGEBRA-2.2
37,დაშალეთ 562 მარტივ მამრავლებად.,"3, 151","2, 2, 3, 7, 7","2, 3, 61","2, 281",დ,ALGEBRA-2.2
38,დაშალეთ 402 მარტივ მამრავლებად.,"2, 2, 5, 19","7, 7, 7","2, 3, 67","2, 2, 5, 5, 5",გ,ALGEBRA-2.2
39,დაშალეთ 662 მარტივ მამრავლებად.,"2, 2, 3, 3, 17","2, 331","2, 19, 19","2, 3, 101",ბ,ALGEBRA-2.2
40,იპოვეთ 10 და 198 რიცხვების უმცირესი საერთო ჯერადი.,445,990,728,612,ბ,ALGEBRA-2.3
41,იპოვეთ 40 და 38 რიცხვების უმცირესი საერთო ჯერადი.,1193,611,678,760,დ,ALGEBRA-2.3
42,იპოვეთ 172 და 33 რიცხვების უმცირესი საერთო ჯერადი.,5676,2168,1382,4113,ა,ALGEBRA-2.3
43,იპოვეთ 21 და 116 რიცხვების უმცირესი საერთო ჯერადი.,277,2436,1442,1728,ბ,ALGEBRA-2.3
44,იპოვეთ 42 და 150 რიცხვების უმცირესი საერთო ჯერადი.,4428,3904,2064,1050,დ,ALGEBRA-2.3
45,იპოვეთ 2 და 74 რიცხვების უმცირესი საერთო ჯერადი.,74,92,83,100,ა,ALGEBRA-2.3
46,იპოვეთ 179 და 109 რიცხვების უმცირესი საერთო ჯერადი.,17286,19511,5821,6316,ბ,ALGEBRA-2.3
47,იპოვეთ 121 და 110 რიცხვების უმცირესი საერთო ჯერადი.,1210,12412,1509,11907,ა,ALGEBRA-2.3
48,იპოვეთ 146 და 11 რიცხვების უმცირესი საერთო ჯერადი.,1569,754,1606,1245,გ,ALGEBRA-2.3
49,იპოვეთ 59 და 18 რიცხვების უმცირესი საერთო ჯერადი.,753,143,66,1062,დ,ALGEBRA-2.3
50,იპოვეთ 169 და 130 რიცხვების უმცირესი საერთო ჯერადი.,1690,14829,9750,13390,ა,ALGEBRA-2.3
51,იპოვეთ 101 და 83 რიცხვების უმცირესი საერთო ჯერადი.,8383,3035,6000,1025,ა,ALGEBRA-2.3
52,იპოვეთ 99 და 21 რიცხვების უმცირესი საერთო ჯერადი.,1439,203,222,693,დ,ALGEBRA-2.3
53,იპოვეთ 196 და 67 რიცხვების უმცირესი საერთო ჯერადი.,13132,2552,2080,10048,ა,ALGEBRA-2.3
54,იპოვეთ 145 და 152 რიცხვების უმცირესი საერთო ჯერადი.,22040,9943,4188,5039,ა,ALGEBRA-2.3
55,იპოვეთ 36 და 145 რიცხვების უმცირესი საერთო ჯერადი.,5220,2531,2493,4764,ა,ALGEBRA-2.3
56,იპოვეთ 61 და 86 რიცხვების უმცირესი საერთო ჯერადი.,2250,5246,1288,896,ბ,ALGEBRA-2.3
57,იპოვეთ 75 და 163 რიცხვების უმცირესი საერთო ჯერადი.,12225,5671,6355,3275,ა,ALGEBRA-2.3
58,იპოვეთ 25 და 154 რიცხვების უმცირესი საერთო ჯერადი.,3850,3343,168,1410,ა,ALGEBRA-2.3
59,იპოვეთ 13 და 166 რიცხვების უმცირესი საერთო ჯერადი.,1067,1171,409,2158,დ,ALGEBRA-2.3
60,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 280-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 9-ზე?",1,4,8,7,ა,ALGEBRA-2.4
61,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 111-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 2-ზე?",0,1,3,2,ბ,ALGEBRA-2.4
62,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 844-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 6-ზე?",4,1,9,0,ა,ALGEBRA-2.4
63,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 864-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 8-ზე?",4,0,6,2,ბ,ALGEBRA-2.4
64,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 938-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 9-ზე?",6,8,7,2,დ,ALGEBRA-2.4
65,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 639-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 2-ზე?",6,0,3,1,დ,ALGEBRA-2.4
66,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 264-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 9-ზე?",9,3,5,6,ბ,ALGEBRA-2.4
67,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 141-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 10-ზე?",8,4,1,2,გ,ALGEBRA-2.4
68,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 338-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 9-ზე?",0,5,1,9,ბ,ALGEBRA-2.4
69,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 509-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 8-ზე?",3,0,5,2,გ,ALGEBRA-2.4
70,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 197-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 4-ზე?",1,4,8,2,ა,ALGEBRA-2.4
71,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 523-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 9-ზე?",1,3,9,2,ა,ALGEBRA-2.4
72,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 531-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 10-ზე?",1,4,6,7,ა,ALGEBRA-2.4
73,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 53-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 4-ზე?",5,9,2,1,დ,ALGEBRA-2.4
74,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 224-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 8-ზე?",7,1,0,4,გ,ALGEBRA-2.4
75,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 127-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 3-ზე?",1,5,3,8,ა,ALGEBRA-2.4
76,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 24-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 2-ზე?",0,7,3,1,ა,ALGEBRA-2.4
77,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 302-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 6-ზე?",9,5,2,6,გ,ALGEBRA-2.4
78,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 364-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 3-ზე?",3,1,7,0,ბ,ALGEBRA-2.4
79,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 353-ს, რომ მიღებული შედეგი უნაშთოდ იყოფოდეს 3-ზე?",3,4,8,2,დ,ALGEBRA-2.4
80,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 209-ს, რომ მიღებული შედეგის 3-ზე გაყოფისას მიღებული ნაშთი იყოს 2?",3,7,1,0,დ,"ALGEBRA-2.4, ALGEBRA-2.5"
81,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 328-ს, რომ მიღებული შედეგის 2-ზე გაყოფისას მიღებული ნაშთი იყოს 1?",4,8,1,0,გ,"ALGEBRA-2.4, ALGEBRA-2.5"
82,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 981-ს, რომ მიღებული შედეგის 2-ზე გაყოფისას მიღებული ნაშთი იყოს 1?",0,8,2,6,ა,"ALGEBRA-2.4, ALGEBRA-2.5"
83,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 659-ს, რომ მიღებული შედეგის 3-ზე გაყოფისას მიღებული ნაშთი იყოს 0?",6,1,4,2,ბ,"ALGEBRA-2.4, ALGEBRA-2.5"
84,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 974-ს, რომ მიღებული შედეგის 2-ზე გაყოფისას მიღებული ნაშთი იყოს 0?",1,0,7,3,ბ,"ALGEBRA-2.4, ALGEBRA-2.5"
85,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 954-ს, რომ მიღებული შედეგის 9-ზე გაყოფისას მიღებული ნაშთი იყოს 5?",8,5,1,3,ბ,"ALGEBRA-2.4, ALGEBRA-2.5"
86,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 787-ს, რომ მიღებული შედეგის 5-ზე გაყოფისას მიღებული ნაშთი იყოს 3?",4,1,0,3,ბ,"ALGEBRA-2.4, ALGEBRA-2.5"
87,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 837-ს, რომ მიღებული შედეგის 10-ზე გაყოფისას მიღებული ნაშთი იყოს 7?",4,0,1,6,ბ,"ALGEBRA-2.4, ALGEBRA-2.5"
88,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 648-ს, რომ მიღებული შედეგის 5-ზე გაყოფისას მიღებული ნაშთი იყოს 1?",8,1,3,4,გ,"ALGEBRA-2.4, ALGEBRA-2.5"
89,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 858-ს, რომ მიღებული შედეგის 3-ზე გაყოფისას მიღებული ნაშთი იყოს 1?",5,1,4,0,ბ,"ALGEBRA-2.4, ALGEBRA-2.5"
90,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 741-ს, რომ მიღებული შედეგის 8-ზე გაყოფისას მიღებული ნაშთი იყოს 0?",3,5,1,6,ა,"ALGEBRA-2.4, ALGEBRA-2.5"
91,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 200-ს, რომ მიღებული შედეგის 4-ზე გაყოფისას მიღებული ნაშთი იყოს 1?",6,2,1,9,გ,"ALGEBRA-2.4, ALGEBRA-2.5"
92,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 262-ს, რომ მიღებული შედეგის 6-ზე გაყოფისას მიღებული ნაშთი იყოს 5?",9,1,4,6,ბ,"ALGEBRA-2.4, ALGEBRA-2.5"
93,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 858-ს, რომ მიღებული შედეგის 5-ზე გაყოფისას მიღებული ნაშთი იყოს 3?",4,9,5,0,დ,"ALGEBRA-2.4, ALGEBRA-2.5"
94,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 157-ს, რომ მიღებული შედეგის 4-ზე გაყოფისას მიღებული ნაშთი იყოს 1?",0,2,7,4,ა,"ALGEBRA-2.4, ALGEBRA-2.5"
95,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 525-ს, რომ მიღებული შედეგის 2-ზე გაყოფისას მიღებული ნაშთი იყოს 1?",0,2,9,5,ა,"ALGEBRA-2.4, ALGEBRA-2.5"
96,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 944-ს, რომ მიღებული შედეგის 2-ზე გაყოფისას მიღებული ნაშთი იყოს 0?",9,7,1,0,დ,"ALGEBRA-2.4, ALGEBRA-2.5"
97,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 937-ს, რომ მიღებული შედეგის 6-ზე გაყოფისას მიღებული ნაშთი იყოს 3?",6,2,0,8,ბ,"ALGEBRA-2.4, ALGEBRA-2.5"
98,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 396-ს, რომ მიღებული შედეგის 5-ზე გაყოფისას მიღებული ნაშთი იყოს 4?",3,5,8,7,ა,"ALGEBRA-2.4, ALGEBRA-2.5"
99,"რა უმცირესი ნატურალური რიცხვი უნდა დავუმატოთ 172-ს, რომ მიღებული შედეგის 8-ზე გაყოფისას მიღებული ნაშთი იყოს 7?",3,8,6,7,ა,"ALGEBRA-2.4, ALGEBRA-2.5"
100,წარმოადგინეთ 77 ორობით სისტემაში.,110100010,101000011,101001101,1001101,დ,ALGEBRA-9.1
101,წარმოადგინეთ 97 ორობით სისტემაში.,110000100,1011111,100110001,1100001,დ,ALGEBRA-9.1
102,წარმოადგინეთ 186 ორობით სისტემაში.,111101010,10111010,10001100,10110000,ბ,ALGEBRA-9.1
103,წარმოადგინეთ 227 ორობით სისტემაში.,0,10100010,101001110,11100011,დ,ALGEBRA-9.1
104,წარმოადგინეთ 336 ორობით სისტემაში.,1001001,100010011,101010000,101110100,გ,ALGEBRA-9.1
105,წარმოადგინეთ 337 ორობით სისტემაში.,101010001,111110,111000011,1110000,ა,ALGEBRA-9.1
106,წარმოადგინეთ 325 ორობით სისტემაში.,100100100,11101111,11111010,101000101,დ,ALGEBRA-9.1
107,წარმოადგინეთ 3 ორობით სისტემაში.,111000010,111011010,11,110001110,გ,ALGEBRA-9.1
108,წარმოადგინეთ 44 ორობით სისტემაში.,111110001,101100,110010011,111010011,ბ,ALGEBRA-9.1
